metric,value,model
precision,0.0,cnn
precision,0.3,cnn
precision,0.07142857142857142,cnn
precision,0.23076923076923078,cnn
precision,0.07142857142857142,cnn
precision,0.25,cnn
precision,0.05263157894736842,cnn
precision,0.16666666666666666,cnn
precision,0.0,cnn
precision,0.15384615384615385,cnn
precision,0.13333333333333333,cnn
precision,0.0,cnn
precision,0.125,cnn
precision,0.0625,cnn
precision,0.125,cnn
precision,0.1,cnn
precision,0.15384615384615385,cnn
precision,0.15789473684210525,cnn
precision,0.0,cnn
precision,0.26666666666666666,cnn
precision,0.0625,cnn
precision,0.13333333333333333,cnn
precision,0.07692307692307693,cnn
precision,0.08333333333333333,cnn
precision,0.1,cnn
precision,0.0,cnn
precision,0.1,cnn
precision,0.045454545454545456,cnn
precision,0.05555555555555555,cnn
precision,0.05,cnn
precision,0.16666666666666666,cnn
precision,0.13333333333333333,cnn
precision,0.05,cnn
precision,0.25,cnn
precision,0.09090909090909091,cnn
precision,0.0,cnn
precision,0.23529411764705882,cnn
precision,0.06666666666666667,cnn
precision,0.16666666666666666,cnn
precision,0.09090909090909091,cnn
precision,0.0,cnn
precision,0.18181818181818182,cnn
precision,0.13333333333333333,cnn
precision,0.0,cnn
precision,0.18181818181818182,cnn
precision,0.3,cnn
precision,0.058823529411764705,cnn
precision,0.2,cnn
precision,0.05555555555555555,cnn
precision,0.16666666666666666,cnn
precision,0.14285714285714285,cnn
precision,0.1,cnn
precision,0.09090909090909091,cnn
precision,0.09090909090909091,cnn
precision,0.07142857142857142,cnn
precision,0.11764705882352941,cnn
precision,0.0,cnn
precision,0.0,cnn
precision,0.1111111111111111,cnn
precision,0.043478260869565216,cnn
precision,0.0,cnn
precision,0.1,cnn
precision,0.0,cnn
precision,0.13333333333333333,cnn
precision,0.07142857142857142,cnn
precision,0.0,cnn
precision,0.08333333333333333,cnn
precision,0.05,cnn
precision,0.125,cnn
precision,0.11764705882352941,cnn
precision,0.07142857142857142,cnn
precision,0.0,cnn
