Current (A),CosPhi (Units),Energy Consumption (kWh),Reactive Energy (VARh),Voltage (V)
59.75874,0.84385,5.44546,9013.42123,222.7102
44.20476,0.87391,4.83379,6815.48111,223.30044
51.0933,0.86218,7.74605,7842.72284,223.81069
46.28843,0.88143,4.78691,6994.35482,222.95328
34.84512,0.89308,3.75782,5587.1316,222.92274
39.38199,0.89193,3.95211,5975.34962,222.32289
39.04831,0.88098,4.03554,6071.86374,222.82975
13.37922,0.9727,1.46443,1918.15225,223.04082
34.71778,0.91557,3.7124,5073.43452,222.0992
15.27286,0.96467,1.51318,2112.11862,221.78806
13.01932,0.97113,1.28025,1940.1576,222.76569
18.62508,0.94297,2.12016,2856.16388,222.79302
38.04786,0.89563,3.52116,5869.17426,222.88656
40.22437,0.87613,3.90175,6361.12631,223.23902
45.05058,0.85118,4.03966,7633.57434,221.77666
24.48685,0.92893,2.5031,3763.69399,222.19082
25.40287,0.91794,2.44178,4058.14651,222.59365
38.09541,0.88748,3.24813,6232.52315,222.16628
57.72532,0.8279,5.49568,9188.26795,222.97747
46.95898,0.87535,4.83782,7154.67951,222.53184
58.91068,0.85857,5.76632,8895.23638,222.68075
34.61555,0.92077,3.29531,4901.16376,222.3557
22.00314,0.94025,2.26612,3134.67891,223.07136
26.95634,0.93099,2.81344,3888.70368,222.54701
22.24064,0.94256,2.12159,3192.30649,222.64326
31.90385,0.90243,3.24808,5253.12317,223.17748
27.86729,0.91641,2.8224,4451.08823,222.24866
31.76858,0.90938,2.87163,4755.04296,222.03675
26.92237,0.92491,2.91905,4168.18972,221.5658
39.66876,0.90195,4.17734,5729.05542,221.48941
168.17406,0.74492,19.26139,21883.561,220.94873
215.38239,0.86871,27.13969,23575.4276,219.89425
72.02899,0.95237,9.14522,8051.70339,220.63476
73.35229,0.94612,9.1047,8251.80893,220.84176
165.51011,0.89446,20.86176,18311.07396,220.73846
220.03328,0.84681,27.60508,24658.72615,221.3067
207.42553,0.81877,25.68124,24043.72839,222.13665
