Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
"2024-03-01,12:15 AM,13캜,10캜,82 %,SSW,6 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Light Rain"
"2024-03-01,12:45 AM,13캜,12캜,94 %,WSW,24 km/h,0 km/h,""1,003.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,1:15 AM,13캜,13캜,100 %,W,7 km/h,0 km/h,""1,003.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,1:45 AM,13캜,13캜,100 %,W,6 km/h,0 km/h,""1,003.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,2:15 AM,13캜,13캜,100 %,VAR,2 km/h,0 km/h,""1,003.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,2:45 AM,13캜,13캜,100 %,VAR,4 km/h,0 km/h,""1,003.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,3:15 AM,12캜,12캜,100 %,NW,6 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,3:45 AM,12캜,12캜,100 %,NW,4 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,4:15 AM,12캜,12캜,100 %,W,4 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,4:45 AM,12캜,12캜,100 %,VAR,2 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,5:15 AM,12캜,12캜,100 %,VAR,6 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,5:45 AM,12캜,12캜,100 %,VAR,2 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,6:15 AM,12캜,12캜,100 %,S,2 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,6:45 AM,12캜,12캜,100 %,SE,6 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,7:15 AM,12캜,12캜,100 %,SE,4 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
