date,time,temperature,dew_point,humidity,wind,wind_speed,wind_gust,pressure,precip_,condition,datetime
2024-03-01,12:15 AM,13 celsius degrees,10 celsius degrees,82 %,SSW,6 km/h,0 km/h,"1,004.28 hPa",0.0 mm,Light Rain,2024-03-01 00:15:00
2024-03-01,12:45 AM,13 celsius degrees,12 celsius degrees,94 %,WSW,24 km/h,0 km/h,"1,003.29 hPa",0.0 mm,Light Rain,2024-03-01 00:45:00
2024-03-01,1:15 AM,13 celsius degrees,13 celsius degrees,100 %,W,7 km/h,0 km/h,"1,003.29 hPa",0.0 mm,Light Rain,2024-03-01 01:15:00
2024-03-01,1:45 AM,13 celsius degrees,13 celsius degrees,100 %,W,6 km/h,0 km/h,"1,003.29 hPa",0.0 mm,Light Rain,2024-03-01 01:45:00
2024-03-01,2:15 AM,13 celsius degrees,13 celsius degrees,100 %,VAR,2 km/h,0 km/h,"1,003.29 hPa",0.0 mm,Light Rain,2024-03-01 02:15:00
2024-03-01,2:45 AM,13 celsius degrees,13 celsius degrees,100 %,VAR,4 km/h,0 km/h,"1,003.29 hPa",0.0 mm,Light Rain,2024-03-01 02:45:00
2024-03-01,3:15 AM,12 celsius degrees,12 celsius degrees,100 %,NW,6 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Light Rain,2024-03-01 03:15:00
2024-03-01,3:45 AM,12 celsius degrees,12 celsius degrees,100 %,NW,4 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Mostly Cloudy,2024-03-01 03:45:00
2024-03-01,4:15 AM,12 celsius degrees,12 celsius degrees,100 %,W,4 km/h,0 km/h,"1,001.29 hPa",0.0 mm,Mostly Cloudy,2024-03-01 04:15:00
2024-03-01,4:45 AM,12 celsius degrees,12 celsius degrees,100 %,VAR,2 km/h,0 km/h,"1,001.29 hPa",0.0 mm,Mostly Cloudy,2024-03-01 04:45:00
2024-03-01,5:15 AM,12 celsius degrees,12 celsius degrees,100 %,VAR,6 km/h,0 km/h,"1,001.29 hPa",0.0 mm,Mostly Cloudy,2024-03-01 05:15:00
2024-03-01,5:45 AM,12 celsius degrees,12 celsius degrees,100 %,VAR,2 km/h,0 km/h,"1,001.29 hPa",0.0 mm,Mostly Cloudy,2024-03-01 05:45:00
2024-03-01,6:15 AM,12 celsius degrees,12 celsius degrees,100 %,S,2 km/h,0 km/h,"1,001.29 hPa",0.0 mm,Mostly Cloudy,2024-03-01 06:15:00
2024-03-01,6:45 AM,12 celsius degrees,12 celsius degrees,100 %,SE,6 km/h,0 km/h,"1,001.29 hPa",0.0 mm,Mostly Cloudy,2024-03-01 06:45:00
2024-03-01,7:15 AM,12 celsius degrees,12 celsius degrees,100 %,SE,4 km/h,0 km/h,"1,001.29 hPa",0.0 mm,Mostly Cloudy,2024-03-01 07:15:00
2024-03-01,7:45 AM,12 celsius degrees,12 celsius degrees,100 %,SE,6 km/h,0 km/h,"1,001.29 hPa",0.0 mm,Mist,2024-03-01 07:45:00
2024-03-01,8:15 AM,12 celsius degrees,12 celsius degrees,100 %,ESE,7 km/h,0 km/h,"1,001.29 hPa",0.0 mm,Light Rain,2024-03-01 08:15:00
2024-03-01,8:45 AM,12 celsius degrees,12 celsius degrees,100 %,ESE,9 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Light Rain,2024-03-01 08:45:00
2024-03-01,9:15 AM,12 celsius degrees,12 celsius degrees,100 %,ESE,7 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Light Rain,2024-03-01 09:15:00
2024-03-01,9:45 AM,13 celsius degrees,13 celsius degrees,100 %,ESE,9 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Light Rain,2024-03-01 09:45:00
2024-03-01,10:15 AM,13 celsius degrees,13 celsius degrees,100 %,SE,13 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Light Rain,2024-03-01 10:15:00
2024-03-01,10:45 AM,13 celsius degrees,13 celsius degrees,100 %,SSE,9 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Mostly Cloudy,2024-03-01 10:45:00
2024-03-01,11:15 AM,13 celsius degrees,13 celsius degrees,100 %,S,7 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Light Rain,2024-03-01 11:15:00
2024-03-01,11:45 AM,13 celsius degrees,13 celsius degrees,100 %,S,4 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Light Rain,2024-03-01 11:45:00
2024-03-01,12:15 PM,13 celsius degrees,12 celsius degrees,94 %,S,6 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Light Rain,2024-03-01 12:15:00
2024-03-01,12:45 PM,13 celsius degrees,12 celsius degrees,94 %,S,6 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Mostly Cloudy,2024-03-01 12:45:00
2024-03-01,1:15 PM,13 celsius degrees,12 celsius degrees,94 %,SSW,15 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Mostly Cloudy,2024-03-01 13:15:00
2024-03-01,1:45 PM,13 celsius degrees,12 celsius degrees,94 %,S,7 km/h,0 km/h,"1,002.29 hPa",0.0 mm,Mostly Cloudy,2024-03-01 13:45:00
