Data,Giorno,Mese,Temperatura massima,Punto di rugiada,Umidità media,Umidità minima,Umidità massima,Visibilità media,Velocità del vento media,Velocità massima del vento,Raffica,Pressione media sul livello del mare,Pressione media,Pioggia,Fenomeni,Condizione Meteo,Temperatura media,Temperatura minima
2024-02-01,1,Febbraio,11 °C,6 °C,97 %,88 %,100 %,8 km,6 km/h,11 km/h,-,1029 mb,-,-,Nebbia,nebbia al mattino,,
2024-02-02,2,Febbraio,17 °C,4 °C,87 %,36 %,100 %,9 km,5 km/h,11 km/h,-,1028 mb,-,-,Nebbia,nebbia al mattino,7 °C,1 °C
2024-02-03,3,Febbraio,15 °C,8 °C,92 %,72 %,100 %,17 km,7 km/h,18 km/h,-,1029 mb,-,-,Nebbia,nebbia al mattino,,3 °C
2024-02-04,4,Febbraio,13 °C,10 °C,96 %,88 %,100 %,17 km,5 km/h,9 km/h,-,1027 mb,-,-,Nebbia,nebbia al mattino,,8 °C
2024-02-05,5,Febbraio,14 °C,10 °C,95 %,77 %,100 %,14 km,5 km/h,11 km/h,-,1026 mb,-,-,Nebbia,nubi sparse,11 °C,7 °C
2024-02-06,6,Febbraio,15 °C,10 °C,94 %,82 %,100 %,19 km,7 km/h,18 km/h,-,1024 mb,-,-,Nebbia,poco nuvoloso,,9 °C
2024-02-07,7,Febbraio,16 °C,9 °C,94 %,63 %,100 %,13 km,7 km/h,18 km/h,-,1016 mb,-,n/d,Pioggia - Nebbia,nebbia al mattino,10 °C,4 °C
2024-02-08,8,Febbraio,17 °C,11 °C,86 %,59 %,100 %,20 km,13 km/h,30 km/h,-,1011 mb,-,n/d,Pioggia,nubi sparse,13 °C,9 °C
2024-02-09,9,Febbraio,15 °C,11 °C,91 %,59 %,100 %,18 km,12 km/h,21 km/h,-,1003 mb,-,n/d,Pioggia,pioggia e schiarite,12 °C,9 °C
2024-02-10,10,Febbraio,13 °C,12 °C,98 %,88 %,100 %,10 km,14 km/h,22 km/h,-,992 mb,-,n/d,Pioggia,pioggia e schiarite,12 °C,11 °C
2024-02-11,11,Febbraio,14 °C,10 °C,92 %,72 %,100 %,21 km,13 km/h,31 km/h,-,994 mb,-,n/d,Pioggia - Nebbia,pioggia e schiarite,,
2024-02-12,12,Febbraio,14 °C,9 °C,91 %,72 %,100 %,14 km,9 km/h,22 km/h,-,1005 mb,-,-,Nebbia,nebbia al mattino,10 °C,6 °C
2024-02-13,13,Febbraio,15 °C,8 °C,89 %,55 %,100 %,19 km,7 km/h,15 km/h,-,1017 mb,-,-,Nebbia,poco nuvoloso,10 °C,6 °C
2024-02-14,14,Febbraio,15 °C,8 °C,94 %,72 %,100 %,14 km,7 km/h,17 km/h,-,1025 mb,-,-,Nebbia,nebbia al mattino,9 °C,4 °C
2024-02-15,15,Febbraio,15 °C,7 °C,93 %,55 %,100 %,8 km,7 km/h,13 km/h,-,1024 mb,-,-,Nebbia,nebbia al mattino,8 °C,4 °C
2024-02-16,16,Febbraio,14 °C,9 °C,91 %,67 %,100 %,18 km,7 km/h,13 km/h,-,1021 mb,-,-,Nessuno,sereno,10 °C,6 °C
2024-02-17,17,Febbraio,19 °C,7 °C,84 %,30 %,100 %,20 km,6 km/h,15 km/h,-,1025 mb,-,-,Nebbia,sereno,11 °C,6 °C
2024-02-18,18,Febbraio,16 °C,8 °C,90 %,48 %,100 %,18 km,7 km/h,17 km/h,-,1030 mb,-,-,Nebbia,nebbia al mattino,10 °C,4 °C
2024-02-19,19,Febbraio,16 °C,10 °C,92 %,63 %,100 %,11 km,7 km/h,15 km/h,-,1024 mb,-,-,Nebbia,nebbia al mattino,11 °C,8 °C
2024-02-20,20,Febbraio,19 °C,7 °C,80 %,40 %,100 %,14 km,8 km/h,18 km/h,-,1023 mb,-,n/d,Pioggia - Nebbia,nebbia al mattino,11 °C,6 °C
2024-02-21,21,Febbraio,17 °C,5 °C,80 %,34 %,100 %,20 km,7 km/h,17 km/h,-,1024 mb,-,-,Nessuno,sereno,,4 °C
2024-02-22,22,Febbraio,15 °C,9 °C,88 %,67 %,100 %,19 km,9 km/h,21 km/h,-,1015 mb,-,-,Nessuno,poco nuvoloso,11 °C,6 °C
2024-02-23,23,Febbraio,14 °C,11 °C,89 %,71 %,100 %,17 km,22 km/h,37 km/h,-,999 mb,-,n/d,Pioggia,pioggia e schiarite,13 °C,10 °C
2024-02-24,24,Febbraio,15 °C,7 °C,74 %,41 %,100 %,20 km,15 km/h,31 km/h,-,1007 mb,-,n/d,Pioggia,poco nuvoloso,11 °C,8 °C
2024-02-25,25,Febbraio,14 °C,7 °C,86 %,54 %,100 %,21 km,9 km/h,18 km/h,-,1010 mb,-,n/d,Pioggia,poco nuvoloso,10 °C,7 °C
2024-02-26,26,Febbraio,11 °C,8 °C,94 %,76 %,100 %,14 km,20 km/h,37 km/h,-,1004 mb,-,n/d,Pioggia,pioggia e schiarite,9 °C,7 °C
2024-02-27,27,Febbraio,14 °C,12 °C,95 %,77 %,100 %,15 km,22 km/h,33 km/h,-,1003 mb,-,n/d,Pioggia - Temporale,pioggia e schiarite,13 °C,12 °C
2024-02-28,28,Febbraio,18 °C,9 °C,74 %,49 %,100 %,20 km,17 km/h,31 km/h,-,1011 mb,-,n/d,Pioggia,pioggia e schiarite,14 °C,11 °C
2024-02-29,29,Febbraio,18 °C,9 °C,61 %,55 %,72 %,19 km,25 km/h,41 km/h,-,1008 mb,-,n/d,Pioggia,poco nuvoloso,16 °C,15 °C
