Data,Giorno,Mese,Temperatura media,Temperatura minima,Temperatura massima,Punto di rugiada,Umidità media,Umidità minima,Umidità massima,Visibilità media,Velocità del vento media,Velocità massima del vento,Raffica,Pressione media sul livello del mare,Pressione media,Pioggia,Fenomeni,Condizione Meteo
2024-01-01,1,Gennaio,12 °C,8 °C,14 °C,8 °C,82 %,67 %,100 %,19 km,13 km/h,35 km/h,-,1013 mb,-,-,Nessuno,nubi sparse
2024-01-02,2,Gennaio,10 °C,6 °C,14 °C,9 °C,91 %,72 %,100 %,20 km,16 km/h,33 km/h,-,1016 mb,-,n/d,Pioggia,poco nuvoloso
2024-01-03,3,Gennaio,,10 °C,15 °C,11 °C,86 %,72 %,100 %,17 km,14 km/h,33 km/h,-,1011 mb,-,-,Nessuno,poco nuvoloso
2024-01-04,4,Gennaio,13 °C,9 °C,15 °C,10 °C,82 %,72 %,94 %,20 km,21 km/h,33 km/h,-,1011 mb,-,-,Nessuno,poco nuvoloso
2024-01-05,5,Gennaio,11 °C,8 °C,13 °C,10 °C,93 %,82 %,100 %,20 km,15 km/h,21 km/h,-,1006 mb,-,n/d,Pioggia,pioggia e schiarite
2024-01-06,6,Gennaio,12 °C,10 °C,13 °C,12 °C,99 %,94 %,100 %,16 km,7 km/h,13 km/h,-,996 mb,-,n/d,Pioggia,pioggia e schiarite
2024-01-07,7,Gennaio,9 °C,9 °C,10 °C,9 °C,96 %,93 %,100 %,20 km,6 km/h,21 km/h,-,996 mb,-,n/d,Pioggia,pioggia e schiarite
2024-01-08,8,Gennaio,,8 °C,11 °C,6 °C,83 %,61 %,100 %,19 km,8 km/h,18 km/h,-,1006 mb,-,n/d,Pioggia,poco nuvoloso
2024-01-09,9,Gennaio,7 °C,4 °C,12 °C,1 °C,67 %,50 %,87 %,22 km,20 km/h,33 km/h,-,1018 mb,-,-,Nessuno,sereno
2024-01-10,10,Gennaio,6 °C,3 °C,10 °C,2 °C,75 %,58 %,87 %,22 km,17 km/h,24 km/h,-,1023 mb,-,-,Nessuno,poco nuvoloso
2024-01-11,11,Gennaio,6 °C,4 °C,11 °C,2 °C,71 %,50 %,87 %,19 km,19 km/h,30 km/h,-,1021 mb,-,-,Nessuno,poco nuvoloso
2024-01-12,12,Gennaio,,-1 °C,10 °C,1 °C,70 %,31 %,100 %,21 km,8 km/h,18 km/h,-,1021 mb,-,-,Nessuno,sereno
2024-01-13,13,Gennaio,,-2 °C,10 °C,3 °C,85 %,50 %,100 %,21 km,7 km/h,13 km/h,-,1023 mb,-,n/d,Pioggia,poco nuvoloso
2024-01-14,14,Gennaio,,7 °C,10 °C,8 °C,94 %,71 %,100 %,19 km,7 km/h,18 km/h,-,1013 mb,-,n/d,Pioggia,pioggia e schiarite
2024-01-15,15,Gennaio,10 °C,7 °C,14 °C,8 °C,91 %,72 %,100 %,21 km,8 km/h,18 km/h,-,1002 mb,-,-,Nessuno,nubi sparse
2024-01-16,16,Gennaio,10 °C,7 °C,14 °C,9 °C,92 %,63 %,100 %,20 km,8 km/h,24 km/h,-,1007 mb,-,-,Nessuno,poco nuvoloso
2024-01-17,17,Gennaio,,,15 °C,12 °C,99 %,94 %,100 %,18 km,9 km/h,24 km/h,-,1004 mb,-,n/d,Pioggia,pioggia e schiarite
2024-01-18,18,Gennaio,,12 °C,17 °C,12 °C,86 %,72 %,100 %,20 km,24 km/h,44 km/h,-,999 mb,-,-,Nessuno,poco nuvoloso
2024-01-19,19,Gennaio,13 °C,8 °C,15 °C,10 °C,76 %,53 %,94 %,22 km,22 km/h,31 km/h,-,1007 mb,-,-,Nessuno,poco nuvoloso
2024-01-20,20,Gennaio,,1 °C,9 °C,0 °C,37 %,21 %,60 %,20 km,17 km/h,28 km/h,-,1024 mb,-,-,Nessuno,sereno
2024-01-21,21,Gennaio,3 °C,-2 °C,11 °C,1 °C,69 %,28 %,100 %,21 km,5 km/h,9 km/h,-,1032 mb,-,-,Nessuno,sereno
2024-01-22,22,Gennaio,,-3 °C,12 °C,7 °C,80 %,40 %,100 %,20 km,8 km/h,18 km/h,-,1032 mb,-,n/d,Pioggia,poco nuvoloso
2024-01-23,23,Gennaio,10 °C,6 °C,14 °C,8 °C,94 %,77 %,100 %,18 km,8 km/h,17 km/h,-,1029 mb,-,n/d,Pioggia - Nebbia,pioggia e schiarite
2024-01-24,24,Gennaio,,,12 °C,7 °C,98 %,88 %,100 %,10 km,6 km/h,11 km/h,-,1031 mb,-,-,Nebbia,nebbia al mattino
2024-01-25,25,Gennaio,10 °C,6 °C,13 °C,9 °C,95 %,82 %,100 %,15 km,6 km/h,11 km/h,-,1026 mb,-,-,Nessuno,nubi sparse
2024-01-26,26,Gennaio,10 °C,7 °C,12 °C,8 °C,90 %,77 %,100 %,19 km,10 km/h,21 km/h,-,1027 mb,-,-,Nessuno,nubi sparse
2024-01-27,27,Gennaio,,5 °C,15 °C,8 °C,92 %,72 %,100 %,17 km,6 km/h,11 km/h,-,1029 mb,-,-,Nebbia,nebbia al mattino
2024-01-28,28,Gennaio,9 °C,3 °C,16 °C,4 °C,66 %,20 %,100 %,18 km,10 km/h,24 km/h,-,1034 mb,-,-,Nessuno,sereno
2024-01-29,29,Gennaio,,0 °C,16 °C,3 °C,76 %,25 %,100 %,18 km,7 km/h,15 km/h,-,1035 mb,-,-,Nessuno,sereno
