Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2024-05-01,12:15 AM,16 °C,14 °C,88 %,ESE,7 km/h,0 km/h,"1,010.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,12:45 AM,15 °C,15 °C,100 %,ESE,7 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,1:15 AM,15 °C,15 °C,100 %,NE,9 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,1:45 AM,15 °C,15 °C,100 %,ESE,4 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,2:15 AM,15 °C,15 °C,100 %,ESE,6 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,2:45 AM,15 °C,15 °C,100 %,ESE,7 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,3:15 AM,15 °C,15 °C,100 %,ESE,4 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,3:45 AM,15 °C,15 °C,100 %,ESE,6 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,4:15 AM,15 °C,15 °C,100 %,ESE,7 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,4:45 AM,15 °C,15 °C,100 %,ESE,4 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,5:15 AM,15 °C,15 °C,100 %,E,4 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,5:45 AM,15 °C,14 °C,94 %,NE,6 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,6:15 AM,15 °C,15 °C,100 %,NW,4 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Light Rain
2024-05-01,6:45 AM,15 °C,15 °C,100 %,WNW,6 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Light Rain
2024-05-01,7:15 AM,16 °C,16 °C,100 %,VAR,4 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Light Rain
2024-05-01,7:45 AM,16 °C,16 °C,100 %,NNE,7 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Light Rain
2024-05-01,8:15 AM,16 °C,16 °C,100 %,NNE,4 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Light Rain
2024-05-01,8:45 AM,16 °C,16 °C,100 %,NE,7 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Light Rain
2024-05-01,9:15 AM,16 °C,16 °C,100 %,NE,6 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Light Rain
2024-05-01,9:45 AM,16 °C,16 °C,100 %,ENE,9 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Light Rain
2024-05-01,10:15 AM,16 °C,16 °C,100 %,ENE,6 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Light Rain
2024-05-01,10:45 AM,16 °C,16 °C,100 %,E,6 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Light Rain
2024-05-01,11:15 AM,16 °C,16 °C,100 %,E,6 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,11:45 AM,17 °C,16 °C,94 %,E,6 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,12:15 PM,16 °C,16 °C,100 %,E,11 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Partly Cloudy
2024-05-01,12:45 PM,16 °C,15 °C,94 %,ENE,7 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,1:15 PM,16 °C,14 °C,88 %,ENE,9 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Light Rain
2024-05-01,1:45 PM,16 °C,15 °C,94 %,E,13 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Light Rain
